"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","23.5","","","","1"
"2002","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","23.1","","","","1"
"2003","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","24.5","","","","1"
"2004","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","19.8","","","","1"
"2005","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","19.9","","","","1"
"2006","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","19.3","","","","1"
"2007","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","22.3","","","","1"
"2008","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","14.9","","","","1"
"2009","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","11.9","","","","1"
"2010","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","15.0","","","","1"
"2011","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","14.3","","","","1"
"2012","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","16.0","","","","1"
"2013","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","17.9","","","","1"
"2014","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","18.7","","","","1"
"2015","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","19.9","","","","1"
"2016","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","17.4","","","","1"
"2017","British Columbia","2021A000259","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368514","11.3.5.1.1","17.9","","","","1"
