"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","5.4","","","","1"
"2002","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","4.4","","","","1"
"2003","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","5.4","","","","1"
"2004","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","5.2","","","","1"
"2005","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","4.9","","","","1"
"2006","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","4.2","","","","1"
"2007","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.6","","","","1"
"2008","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.5","","","","1"
"2009","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.7","","","","1"
"2010","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.3","","","","1"
"2011","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.4","","","","1"
"2012","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.7","","","","1"
"2013","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.9","","","","1"
"2014","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","4.1","","","","1"
"2015","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.1","","","","1"
"2016","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.3","","","","1"
"2017","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.3","","","","1"
"2018","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.0","","","","1"
"2019","New Brunswick","2021A000213","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365454","5.3.5.1.1","3.4","","","","1"
