"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","1.3","","","","1"
"2002","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","1.0","","","","1"
"2003","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","0.7","","","","1"
"2004","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","1.2","","","","1"
"2005","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","1.5","","","","1"
"2006","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","0.9","","","","1"
"2007","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","0.5","","","","1"
"2008","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","0.7","","","","1"
"2009","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","0.6","","","","1"
"2010","Newfoundland and Labrador","2021A000210","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363924","2.3.5.1.1","1.0","","","","1"
