"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","3.7","","","","1"
"2002","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","3.4","","","","1"
"2003","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","3.9","","","","1"
"2004","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","3.3","","","","1"
"2005","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","3.7","","","","1"
"2006","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.1","","","","1"
"2007","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.0","","","","1"
"2008","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","3.2","","","","1"
"2009","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.0","","","","1"
"2010","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.2","","","","1"
"2011","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.5","","","","1"
"2012","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.2","","","","1"
"2013","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.2","","","","1"
"2014","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","1.7","","","","1"
"2015","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.0","","","","1"
"2016","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.2","","","","1"
"2017","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","1.4","","","","1"
"2018","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.3","","","","1"
"2019","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","1.8","","","","1"
"2020","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","1.9","","","","1"
"2021","Nova Scotia","2021A000212","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364944","4.3.5.1.1","2.0","","","","1"
