"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","8.6","","","","1"
"2002","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","8.4","","","","1"
"2003","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","7.5","","","","1"
"2004","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","11.1","","","","1"
"2005","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","10.5","","","","1"
"2006","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","9.7","","","","1"
"2007","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","7.6","","","","1"
"2008","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","7.0","","","","1"
"2009","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","7.7","","","","1"
"2010","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","7.5","","","","1"
"2011","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","6.8","","","","1"
"2012","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","7.5","","","","1"
"2013","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","5.3","","","","1"
"2014","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","4.6","","","","1"
"2015","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","6.6","","","","1"
"2016","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","5.3","","","","1"
"2017","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","4.5","","","","1"
"2018","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","4.7","","","","1"
"2019","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","4.3","","","","1"
"2020","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","7.3","","","","1"
"2021","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","4.9","","","","1"
"2022","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","5.2","","","","1"
"2023","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","4.9","","","","1"
"2024","Ontario","2021A000235","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366474","7.3.5.1.1","4.9","","","","1"
"2001","Ontario","2021A000235","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366476","7.3.7.1.1","25.9","","","","1"
"2002","Ontario","2021A000235","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366476","7.3.7.1.1","24.3","","","","1"
"2003","Ontario","2021A000235","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366476","7.3.7.1.1","21.9","","","","1"
"2004","Ontario","2021A000235","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2366476","7.3.7.1.1","20.5","","","","1"
