"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","20.4","","","","1"
"2002","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","22.8","","","","1"
"2003","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","20.8","","","","1"
"2004","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","19.4","","","","1"
"2005","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","18.7","","","","1"
"2006","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","16.8","","","","1"
"2007","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","14.1","","","","1"
"2008","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","12.9","","","","1"
"2009","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","11.2","","","","1"
"2010","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","12.7","","","","1"
"2011","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","12.3","","","","1"
"2012","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","13.3","","","","1"
"2013","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","14.6","","","","1"
"2014","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","10.7","","","","1"
"2015","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","9.5","","","","1"
"2016","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","7.5","","","","1"
"2017","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","10.7","","","","1"
"2018","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","12.8","","","","1"
"2019","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","13.2","","","","1"
"2020","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","12.3","","","","1"
"2021","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","14.1","","","","1"
"2022","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","10.9","","","","1"
"2023","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","9.3","","","","1"
"2024","Quebec","2021A000224","Full-time employment","Forestry, logging and support for forestry [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365964","6.3.5.1.1","10.6","","","","1"
"2001","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","11.4","","","","1"
"2002","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","12.6","","","","1"
"2003","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","14.9","","","","1"
"2004","Quebec","2021A000224","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365966","6.3.7.1.1","13.8","","","","1"
