"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.5","","","","1"
"2002","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.9","","","","1"
"2003","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.3","","","","1"
"2004","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.2","","","","1"
"2005","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.8","","","","1"
"2006","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.8","","","","1"
"2007","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.7","","","","1"
"2008","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.3","","","","1"
"2009","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.9","","","","1"
"2010","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.9","","","","1"
"2011","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.3","","","","1"
"2012","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.3","","","","1"
"2013","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.0","","","","1"
"2014","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.0","","","","1"
"2015","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.6","","","","1"
"2016","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.9","","","","1"
"2017","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.5","","","","1"
"2018","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.7","","","","1"
"2019","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.7","","","","1"
"2020","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.5","","","","1"
"2021","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.7","","","","1"
"2022","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.5","","","","1"
"2023","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","0.6","","","","1"
"2024","Saskatchewan","2021A000247","Full-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367494","9.3.5.1.1","1.0","","","","1"
"2001","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","13.9","","","","1"
"2002","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","13.6","","","","1"
"2003","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","15.3","","","","1"
"2004","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","17.2","","","","1"
"2005","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","17.0","","","","1"
"2006","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","20.5","","","","1"
"2007","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","21.4","","","","1"
"2008","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","24.3","","","","1"
"2009","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","22.7","","","","1"
"2010","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","24.0","","","","1"
"2011","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","26.0","","","","1"
"2012","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","27.1","","","","1"
"2013","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","24.7","","","","1"
"2014","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","26.7","","","","1"
"2015","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","25.1","","","","1"
"2016","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","23.7","","","","1"
"2017","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","22.7","","","","1"
"2018","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","22.5","","","","1"
"2019","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","22.6","","","","1"
"2020","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","19.2","","","","1"
"2021","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","19.9","","","","1"
"2022","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","18.5","","","","1"
"2023","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","19.4","","","","1"
"2024","Saskatchewan","2021A000247","Full-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367496","9.3.7.1.1","20.2","","","","1"
