"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.7","","","","1"
"2002","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","2.0","","","","1"
"2003","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","2.4","","","","1"
"2004","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.6","","","","1"
"2005","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.7","","","","1"
"2006","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","2.1","","","","1"
"2007","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.5","","","","1"
"2008","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2009","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2010","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2011","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2012","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2013","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2014","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2015","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.5","","","","1"
"2016","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.5","","","","1"
"2017","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2018","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2019","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2020","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.8","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.7","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","","x","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368542","11.4.5.1.1","1.5","","","","1"
"2001","British Columbia","2021A000259","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368544","11.4.7.1.1","","x","","","1"
"2002","British Columbia","2021A000259","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368544","11.4.7.1.1","","x","","","1"
"2003","British Columbia","2021A000259","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368544","11.4.7.1.1","","x","","","1"
"2004","British Columbia","2021A000259","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368544","11.4.7.1.1","","x","","","1"
