"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2002","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2003","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2004","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2005","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2006","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2007","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2008","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2009","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2010","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2011","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2012","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2013","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2014","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2015","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2016","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
"2017","Manitoba","2021A000246","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2367012","8.4.5.1.1","","x","","","1"
