"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2002","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2003","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2004","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2005","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2006","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2007","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2008","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2009","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2010","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2011","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2012","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2013","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2014","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2015","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2016","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2017","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2018","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2019","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2020","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2021","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2022","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2023","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2024","Newfoundland and Labrador","2021A000210","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363952","2.4.5.1.1","","x","","","1"
"2001","Newfoundland and Labrador","2021A000210","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363954","2.4.7.1.1","","x","","","1"
"2002","Newfoundland and Labrador","2021A000210","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2363954","2.4.7.1.1","","x","","","1"
