"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2002","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2003","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2004","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2005","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2006","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2007","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","0.5","","","","1"
"2008","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","0.5","","","","1"
"2009","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2010","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2011","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2012","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
"2013","Nova Scotia","2021A000212","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364972","4.4.5.1.1","","x","","","1"
