"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2002","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2003","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2004","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2005","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2006","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2007","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2008","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2009","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2010","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2011","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2012","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2013","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2014","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2015","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2016","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2017","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2018","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2019","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2020","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2021","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2022","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2023","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2024","Prince Edward Island","2021A000211","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364462","3.4.5.1.1","","x","","","1"
"2001","Prince Edward Island","2021A000211","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364464","3.4.7.1.1","","x","","","1"
"2002","Prince Edward Island","2021A000211","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364464","3.4.7.1.1","","x","","","1"
"2003","Prince Edward Island","2021A000211","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364464","3.4.7.1.1","","x","","","1"
"2004","Prince Edward Island","2021A000211","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2364464","3.4.7.1.1","","x","","","1"
