"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2002","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","1.5","","","","1"
"2003","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","1.5","","","","1"
"2004","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2005","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","1.6","","","","1"
"2006","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2007","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","1.5","","","","1"
"2008","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2009","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2010","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","1.9","","","","1"
"2011","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2012","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2013","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2014","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2015","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2016","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2017","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2018","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2019","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2020","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2021","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2022","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2023","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2024","Quebec","2021A000224","Part-time employment","Forestry, logging and support [113, 1153]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365992","6.4.5.1.1","","x","","","1"
"2001","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2002","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2003","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2004","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2005","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2006","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2007","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2008","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2009","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2010","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2011","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2012","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2013","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2014","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2015","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2016","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2017","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2018","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2019","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2020","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2021","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
"2022","Quebec","2021A000224","Part-time employment","Mining, quarrying, and oil and gas extraction [21, 2100]","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2365994","6.4.7.1.1","","x","","","1"
