"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","846.05","","","","2"
"2002","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","911.06","","","","2"
"2003","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","922.15","","","","2"
"2004","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","925.62","","","","2"
"2005","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","958.41","","","","2"
"2006","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1001.44","","","","2"
"2007","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1027.67","","","","2"
"2008","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1057.09","","","","2"
"2009","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","","F","","","2"
"2010","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","","F","","","2"
"2011","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","","F","","","2"
"2012","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1171.18","A","","","2"
"2013","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1223.08","A","","","2"
"2014","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1218.01","A","","","2"
"2015","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1315.89","A","","","2"
"2016","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1293.03","A","","","2"
"2017","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","","F","","","2"
"2018","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","","F","","","2"
"2019","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1317.30","B","","","2"
"2020","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1317.77","C","","","2"
"2021","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1433.45","B","","","2"
"2022","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","","F","","","2"
"2023","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","1494.41","B","","","2"
"2024","Alberta","2021A000248","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922543","10.1.1.4","","F","","","2"
"2001","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1202.76","","","","2"
"2002","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1202.38","","","","2"
"2003","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1289.57","","","","2"
"2004","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1351.27","","","","2"
"2005","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1372.01","","","","2"
"2006","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1414.60","","","","2"
"2007","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1504.34","","","","2"
"2008","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1628.86","","","","2"
"2009","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1719.12","A","","","2"
"2010","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1856.37","A","","","2"
"2011","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1879.10","A","","","2"
"2012","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","1976.11","A","","","2"
"2013","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2022.64","A","","","2"
"2014","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2194.14","A","","","2"
"2015","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2166.91","A","","","2"
"2016","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2278.78","A","","","2"
"2017","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2227.88","A","","","2"
"2018","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2243.10","A","","","2"
"2019","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2295.62","A","","","2"
"2020","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2289.41","B","","","2"
"2021","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2391.14","B","","","2"
"2022","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2492.75","A","","","2"
"2023","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2493.59","B","","","2"
"2024","Alberta","2021A000248","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742284","10.1.1.10","2600.49","B","","","2"
"2001","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1068.94","","","","2"
"2002","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1167.61","","","","2"
"2003","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1204.74","","","","2"
"2004","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1186.60","","","","2"
"2005","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1253.14","","","","2"
"2006","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1329.32","","","","2"
"2007","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1416.87","","","","2"
"2008","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1513.15","","","","2"
"2009","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1591.07","A","","","2"
"2010","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1609.08","A","","","2"
"2011","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1714.08","A","","","2"
"2012","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1757.13","A","","","2"
"2013","Alberta","2021A000248","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1742287","10.1.1.17","1773.77","A","","","2"
