"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","916.72","","","","2"
"2002","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","879.85","","","","2"
"2003","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","920.37","","","","2"
"2004","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","981.00","","","","2"
"2005","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","962.83","","","","2"
"2006","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","972.00","","","","2"
"2007","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","991.66","","","","2"
"2008","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1019.63","","","","2"
"2009","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","901.38","B","","","2"
"2010","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1057.39","A","","","2"
"2011","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1123.69","A","","","2"
"2012","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1110.81","A","","","2"
"2013","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1175.48","B","","","2"
"2014","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1142.70","A","","","2"
"2015","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1225.67","A","","","2"
"2016","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1231.96","A","","","2"
"2017","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1225.50","A","","","2"
"2018","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1354.97","A","","","2"
"2019","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1302.74","B","","","2"
"2020","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1319.17","B","","","2"
"2021","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1386.86","B","","","2"
"2022","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1430.61","B","","","2"
"2023","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1487.33","B","","","2"
"2024","British Columbia","2021A000259","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1742473","11.1.1.4","1482.63","B","","","2"
"2001","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1175.11","","","","2"
"2002","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1106.91","","","","2"
"2003","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1200.96","","","","2"
"2004","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1274.49","","","","2"
"2005","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1256.22","","","","2"
"2006","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1279.80","","","","2"
"2007","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1443.58","","","","2"
"2008","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1494.60","","","","2"
"2009","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1488.27","A","","","2"
"2010","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1500.50","A","","","2"
"2011","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1578.81","A","","","2"
"2012","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1701.71","A","","","2"
"2013","British Columbia","2021A000259","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742478","11.1.1.10","1720.83","A","","","2"
