"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","700.33","","","","2"
"2002","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","712.99","","","","2"
"2003","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2004","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2005","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","821.29","","","","2"
"2006","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2007","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2008","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2009","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2010","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2011","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2012","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2013","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2014","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2015","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2016","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2017","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2018","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2019","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2020","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2021","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2022","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2023","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2024","Manitoba","2021A000246","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544374566","8.1.1.4","","x","","","2"
"2001","Manitoba","2021A000246","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1741967","8.1.1.10","1087.21","","","","2"
"2002","Manitoba","2021A000246","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1741967","8.1.1.10","987.76","","","","2"
"2003","Manitoba","2021A000246","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1741967","8.1.1.10","","x","","","2"
"2004","Manitoba","2021A000246","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1741967","8.1.1.10","","x","","","2"
"2005","Manitoba","2021A000246","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1741967","8.1.1.10","1172.99","","","","2"
"2006","Manitoba","2021A000246","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1741967","8.1.1.10","","x","","","2"
"2007","Manitoba","2021A000246","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1741967","8.1.1.10","","x","","","2"
