"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","678.99","","","","2"
"2002","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","684.23","","","","2"
"2003","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","x","","","2"
"2004","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","x","","","2"
"2005","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","x","","","2"
"2006","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","x","","","2"
"2007","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","x","","","2"
"2008","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","x","","","2"
"2009","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","x","","","2"
"2010","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","F","","","2"
"2011","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","816.76","A","","","2"
"2012","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","850.53","A","","","2"
"2013","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","875.85","A","","","2"
"2014","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","F","","","2"
"2015","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","903.94","A","","","2"
"2016","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","944.32","A","","","2"
"2017","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","F","","","2"
"2018","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","1010.71","A","","","2"
"2019","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","1075.41","A","","","2"
"2020","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","1081.47","B","","","2"
"2021","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","1109.75","B","","","2"
"2022","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","","F","","","2"
"2023","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","1211.78","B","","","2"
"2024","New Brunswick","2021A000213","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922540","5.1.1.4","1267.20","B","","","2"
"2001","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","990.75","","","","2"
"2002","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","927.56","","","","2"
"2003","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2004","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2005","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2006","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2007","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2008","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2009","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2010","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2011","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2012","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","1340.36","A","","","2"
"2013","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2014","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2015","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2016","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
"2017","New Brunswick","2021A000213","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922545","5.1.1.10","","x","","","2"
