"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","758.96","","","","2"
"2002","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","788.98","","","","2"
"2003","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2004","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2005","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2006","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2007","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2008","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2009","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2010","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","F","","","2"
"2011","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","990.55","A","","","2"
"2012","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","984.64","A","","","2"
"2013","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2014","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
"2015","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","1140.85","A","","","2"
"2016","Newfoundland and Labrador","2021A000210","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544367813","2.1.1.4","","x","","","2"
