"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","698.95","","","","2"
"2004","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2005","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2006","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2007","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2008","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2009","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","690.43","B","","","2"
"2010","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2011","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","740.99","A","","","2"
"2012","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","772.38","A","","","2"
"2013","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2014","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2015","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2016","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","x","","","2"
"2017","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2018","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2019","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2020","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2021","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2022","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2023","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2024","Nova Scotia","2021A000212","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544371017","4.1.1.4","","F","","","2"
"2001","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2002","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
"2003","Nova Scotia","2021A000212","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1544371021","4.1.1.10","","x","","","2"
