"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","836.92","","","","2"
"2002","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","823.49","","","","2"
"2003","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","853.12","","","","2"
"2004","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","895.04","","","","2"
"2005","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","868.34","","","","2"
"2006","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","882.61","","","","2"
"2007","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","889.01","","","","2"
"2008","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","914.17","","","","2"
"2009","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","862.27","B","","","2"
"2010","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","948.08","B","","","2"
"2011","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","925.59","A","","","2"
"2012","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","928.95","A","","","2"
"2013","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1003.12","A","","","2"
"2014","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1016.35","A","","","2"
"2015","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1034.93","A","","","2"
"2016","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1031.71","A","","","2"
"2017","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1055.13","A","","","2"
"2018","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1119.26","A","","","2"
"2019","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1166.36","A","","","2"
"2020","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1125.14","B","","","2"
"2021","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1153.04","B","","","2"
"2022","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1224.53","B","","","2"
"2023","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1316.85","B","","","2"
"2024","Ontario","2021A000235","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922541","7.1.1.4","1327.47","B","","","2"
"2001","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1118.45","","","","2"
"2002","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1081.55","","","","2"
"2003","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1148.02","","","","2"
"2004","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1189.59","","","","2"
"2005","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1197.86","","","","2"
"2006","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1200.22","","","","2"
"2007","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1327.00","","","","2"
"2008","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1384.20","","","","2"
"2009","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1429.84","A","","","2"
"2010","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1509.07","A","","","2"
"2011","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1544.40","A","","","2"
"2012","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1618.91","A","","","2"
"2013","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1633.12","A","","","2"
"2014","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1783.75","A","","","2"
"2015","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1683.07","A","","","2"
"2016","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1728.01","A","","","2"
"2017","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1752.69","A","","","2"
"2018","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1791.20","A","","","2"
"2019","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1898.75","B","","","2"
"2020","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1912.98","B","","","2"
"2021","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1934.76","B","","","2"
"2022","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","1983.77","B","","","2"
"2023","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","2062.14","B","","","2"
"2024","Ontario","2021A000235","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v13922547","7.1.1.10","2142.72","B","","","2"
"2001","Ontario","2021A000235","All employees","Including overtime","Utilities [22,221]","Current dollars","75","units","0","v1741711","7.1.1.17","1306.79","","","","2"
