"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2002","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2003","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2004","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2005","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2006","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2007","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2008","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2009","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","F","","","2"
"2010","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2011","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2012","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2013","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2014","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
"2015","Prince Edward Island","2021A000211","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v1544369362","3.1.1.4","","x","","","2"
