"REF_DATE","GEO","DGUID","Type of employees","Overtime","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","765.45","","","","2"
"2002","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","731.83","","","","2"
"2003","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","786.47","","","","2"
"2004","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","802.12","","","","2"
"2005","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","811.41","","","","2"
"2006","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","782.84","","","","2"
"2007","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","799.72","","","","2"
"2008","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","..","","","2"
"2009","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","F","","","2"
"2010","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2011","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2012","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2013","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2014","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2015","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2016","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2017","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2018","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2019","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2020","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2021","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2022","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2023","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2024","Saskatchewan","2021A000247","All employees","Including overtime","Forestry, logging and support [11N]","Current dollars","75","units","0","v13922542","9.1.1.4","","x","","","2"
"2001","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1128.19","","","","2"
"2002","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1108.65","","","","2"
"2003","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1159.39","","","","2"
"2004","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1199.77","","","","2"
"2005","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1229.96","","","","2"
"2006","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1220.37","","","","2"
"2007","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1371.01","","","","2"
"2008","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1462.74","","","","2"
"2009","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1475.07","A","","","2"
"2010","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1650.37","A","","","2"
"2011","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1662.34","A","","","2"
"2012","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1857.26","A","","","2"
"2013","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1859.87","A","","","2"
"2014","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","2023.73","A","","","2"
"2015","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1924.79","A","","","2"
"2016","Saskatchewan","2021A000247","All employees","Including overtime","Mining, quarrying, and oil and gas extraction [21]","Current dollars","75","units","0","v1742142","9.1.1.10","1959.75","A","","","2"
